"chanceflurries.gif" 0000 0000 00 00
"chancerain.gif" 1400 0000 00 00
"chancesleet.gif" 2800 0000 00 00
"chancesnow.gif" 3C00 0000 00 00
"chancetstorms.gif" 5000 0000 00 00
"clear.gif" 6400 0000 00 00
"cloudy.gif" 7800 0000 00 00
"flurries.gif" 8C00 0000 00 00
"fog.gif" A000 0000 00 00
"hazy.gif" B400 0000 00 00
"mostlycloudy.gif" C800 0000 00 00
"mostlysunny.gif" DC00 0000 00 00
"partlycloudy.gif" F000 0000 00 00
"partlysunny.gif" 0400 0001 00 00
"rain.gif" 1800 0001 00 00
"sleet.gif" 2C00 0001 00 00
"snow.gif" 4000 0001 00 00
"sunny.gif" 5400 0001 00 00
"tstorms.gif" 6800 0001 00 00
"unknown.gif" 7C00 0001 00 00
